Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Cases_28_Days,Deaths_28_Days
OHiggins,Chile,2021-06-23 08:30:48,-34.5755,-71.0022,64120,1289,61156,1675,,7011.060023727387,,,2.010293200249532,15214,CHL,,,9077,158
Tarapaca,Chile,2021-06-23 08:30:48,-19.9232,-69.5132,38554,717,37308,529,,11663.308708305349,,,1.859729210976812,15215,CHL,,,2267,57
Unknown,Chile,2021-06-23 08:30:48,,,52,0,52,0,,,,,0.0,15217,CHL,,,-2,0
Valparaiso,Chile,2021-06-23 08:30:48,-33.0472,-71.6127,111418,2832,104994,3592,,6135.683533582759,,,2.541779604731731,15216,CHL,,,15891,316
Anhui,China,2021-06-23 08:30:48,31.8257,117.2264,1004,6,998,0,,1.5876027830487034,,,0.5976095617529881,15601,CHN,,,0,0
Beijing,China,2021-06-23 08:30:48,40.1824,116.4142,1075,9,1051,15,,4.99071494893222,,,0.8372093023255814,15602,CHN,,,17,0
Chongqing,China,2021-06-23 08:30:48,30.0572,107.874,598,6,589,3,,1.9277885235332044,,,1.0033444816053512,15603,CHN,,,0,0
Fujian,China,2021-06-23 08:30:48,26.0789,117.9874,660,1,613,46,,1.6747018523217458,,,0.15151515151515152,15604,CHN,,,44,0
Gansu,China,2021-06-23 08:30:48,35.7518,104.2861,194,2,192,0,,0.7356844899507016,,,1.0309278350515465,15605,CHN,,,0,0
Guangdong,China,2021-06-23 08:30:48,23.3417,113.4244,2709,8,2492,209,,2.3876255949233207,,,0.29531192321890004,15606,CHN,,,296,0
Guangxi,China,2021-06-23 08:30:48,23.8298,108.7881,275,2,273,0,,0.558262281770199,,,0.7272727272727273,15607,CHN,,,0,0
Guizhou,China,2021-06-23 08:30:48,26.8154,106.8748,147,2,145,0,,0.4083333333333333,,,1.3605442176870748,15608,CHN,,,0,0
Hainan,China,2021-06-23 08:30:48,19.1959,109.7453,188,6,181,1,,2.012847965738758,,,3.191489361702128,15609,CHN,,,0,0
Hebei,China,2021-06-23 08:30:48,37.8957,114.9042,1317,7,1310,0,,1.742985706723134,,,0.5315110098709187,15610,CHN,,,0,0
Heilongjiang,China,2021-06-23 08:30:48,47.862,127.7615,1612,13,1599,0,,4.272462231645905,,,0.8064516129032258,15611,CHN,,,0,0
Henan,China,2021-06-23 08:30:48,33.882,113.614,1317,22,1291,4,,1.3711608537220197,,,1.6704631738800304,15612,CHN,,,3,0
Hong Kong,China,2021-06-23 08:30:48,22.3,114.2,11896,210,11618,68,,158.67705803984214,,,1.7652992602555482,344,HKG,,,61,0
Hubei,China,2021-06-23 08:30:48,30.9756,112.2707,68160,4512,63647,1,,115.19351022477606,,,6.619718309859155,15613,CHN,,,1,0
Hunan,China,2021-06-23 08:30:48,27.6104,111.7088,1051,4,1046,1,,1.5234091897376432,,,0.3805899143672693,15614,CHN,,,0,0
Inner Mongolia,China,2021-06-23 08:30:48,44.0935,113.9448,394,1,387,6,,1.5548539857932122,,,0.2538071065989848,15615,CHN,,,9,0
Jiangsu,China,2021-06-23 08:30:48,32.9711,119.455,742,0,728,14,,0.9216246429015028,,,0.0,15616,CHN,,,17,0
Jiangxi,China,2021-06-23 08:30:48,27.614,115.7221,937,1,936,0,,2.01592082616179,,,0.10672358591248668,15617,CHN,,,0,0
Jilin,China,2021-06-23 08:30:48,43.6661,126.1923,573,3,570,0,,2.1190828402366866,,,0.5235602094240838,15618,CHN,,,0,0
